Band,name,plays,likes
Nirvana,Smells Like Teen Spirit,"3,208,474 plays",60.8K
Nirvana,Something In The Way,"3,350,756 plays",68.3K
Nirvana,Come As You Are,"10,541,006 plays",182K
Nirvana,Heart-Shaped Box,"6,855,135 plays",124K
Nirvana,Lithium,"1,135,742 plays",19.8K
Nirvana,In Bloom,"3,297,889 plays",57K
Nirvana,Rape Me,"2,169,502 plays",42.3K
Nirvana,All Apologies (Album Version),"1,935,114 plays",35.8K
Nirvana,Aneurysm,"519,539 plays",11.7K
Nirvana,Sliver,"463,143 plays","9,475"
